Date,ASTRAL.NS,DEEPAKNTR.NS,LTTS.NS,PERSISTENT.NS,TATAELXSI.NS,NIFTY50
2022-05-20,1252.37939453125,1936.93310546875,3380.755615234375,1802.135498046875,8132.49560546875,16266.150390625
2022-05-23,1265.1732177734375,1913.81640625,3402.71923828125,1844.23095703125,8257.541015625,16214.7001953125
2022-05-24,1246.1309814453125,1926.631591796875,3378.50634765625,1762.671142578125,8175.99755859375,16125.150390625
2022-05-25,1223.7420654296875,1819.4268798828125,3212.27294921875,1662.9381103515625,7850.98388671875,16025.7998046875
2022-05-26,1236.498779296875,1817.5535888671875,3174.279052734375,1678.602294921875,7983.47314453125,16170.150390625
2022-05-27,1256.544677734375,1869.307861328125,3300.318359375,1727.76220703125,8059.50634765625,16352.4501953125
2022-05-30,1263.5738525390625,1957.9798583984375,3421.66796875,1830.78369140625,7807.96435546875,16661.400390625
2022-05-31,1286.78125,1968.6263427734375,3351.805908203125,1831.8800048828125,8102.2353515625,16584.55078125
2022-06-01,1346.5477294921875,1984.2020263671875,3339.220947265625,1821.770263671875,8319.65234375,16522.75
2022-06-02,1313.484619140625,2016.73291015625,3452.771240234375,1845.3514404296875,8342.0322265625,16628.0
2022-06-03,1298.7569580078125,1930.279052734375,3419.371337890625,1851.880126953125,8152.69970703125,16584.30078125
2022-06-06,1273.9503173828125,1876.405517578125,3338.455322265625,1822.5986328125,8406.8994140625,16569.55078125
2022-06-07,1240.0318603515625,1863.048095703125,3296.442138671875,1803.5972900390625,8331.5908203125,16416.349609375
2022-06-08,1251.8216552734375,1772.897216796875,3303.859375,1760.892822265625,8322.50390625,16356.25
2022-06-09,1250.14794921875,1759.786376953125,3363.81640625,1754.55908203125,8404.3369140625,16478.099609375
2022-06-10,1225.78759765625,1827.066650390625,3298.739501953125,1702.719482421875,8316.65625,16201.7998046875
2022-06-13,1216.8245849609375,1801.9781494140625,3108.915283203125,1619.94140625,8180.4443359375,15774.400390625
2022-06-14,1215.671630859375,1790.8387451171875,3153.368408203125,1639.35693359375,8107.69677734375,15732.099609375
2022-06-15,1236.9078369140625,1825.83447265625,3149.397216796875,1657.968505859375,7928.3310546875,15692.150390625
2022-06-16,1215.5601806640625,1815.6314697265625,3016.85009765625,1582.9373779296875,7765.33642578125,15360.599609375
2022-06-17,1214.29541015625,1820.4124755859375,2970.7216796875,1552.9007568359375,7591.3623046875,15293.5
2022-06-20,1195.8115234375,1728.73388671875,2910.86083984375,1532.2183837890625,7049.18115234375,15350.150390625
2022-06-21,1253.4952392578125,1755.153076171875,3024.554443359375,1613.705078125,7337.5185546875,15638.7998046875
2022-06-22,1233.7095947265625,1754.9066162109375,2922.870849609375,1567.6387939453125,7279.8994140625,15413.2998046875
2022-06-23,1235.271240234375,1772.2073974609375,2986.034423828125,1640.74560546875,7567.265625,15556.650390625
2022-06-24,1240.7012939453125,1775.9039306640625,2921.722900390625,1588.8326416015625,7573.38720703125,15699.25
2022-06-27,1261.788818359375,1788.472900390625,2995.9873046875,1684.326904296875,7765.044921875,15832.0498046875
2022-06-28,1214.33251953125,1770.4327392578125,3022.30517578125,1716.6051025390625,7808.86669921875,15850.2001953125
2022-06-29,1240.9615478515625,1769.5457763671875,2954.883544921875,1706.032470703125,7954.2744140625,15799.099609375
2022-06-30,1231.4034423828125,1711.7291259765625,2900.524658203125,1657.408203125,7938.921875,15780.25
2022-07-01,1233.0029296875,1698.469970703125,2857.267578125,1614.630859375,7920.9462890625,15752.0498046875
2022-07-04,1286.78125,1716.805908203125,2845.3046875,1587.8828125,7852.29931640625,15835.349609375
2022-07-05,1261.9005126953125,1695.1676025390625,2828.222412109375,1585.3736572265625,7776.31640625,15810.849609375
2022-07-06,1265.470703125,1718.531005859375,2905.118408203125,1635.2642822265625,7747.79833984375,15989.7998046875
2022-07-07,1265.0615234375,1736.0780029296875,2941.76171875,1647.7369384765625,7853.75634765625,16132.900390625
2022-07-08,1265.0245361328125,1746.7738037109375,3002.54541015625,1655.4595947265625,7766.55126953125,16220.599609375
